team1,team2,winner,venue,city,date,toss_winner
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sheikh Zayed Stadium,Abu Dhabi,2020-10-03,Rajasthan Royals
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Sharjah Cricket Stadium,,2020-10-03,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2020-10-02,Sunrisers Hyderabad
Mumbai Indians,Punjab Kings,No Result,Dubai International Cricket Stadium,,2020-10-18,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2020-10-22,Sunrisers Hyderabad
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Dubai International Cricket Stadium,,2020-10-05,Royal Challengers Bengaluru
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Sharjah Cricket Stadium,,2020-10-26,Punjab Kings
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Sharjah Cricket Stadium,,2020-10-23,Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,2020-10-17,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2020-10-10,Kolkata Knight Riders
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2020-10-27,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,2020-10-10,Royal Challengers Bengaluru
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-10-16,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Sharjah Cricket Stadium,,2020-09-27,Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Dubai International Cricket Stadium,,2020-10-13,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians,Sheikh Zayed Stadium,Abu Dhabi,2020-10-11,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Dubai International Cricket Stadium,,2020-11-01,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Sharjah Cricket Stadium,,2020-10-15,Royal Challengers Bengaluru
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sheikh Zayed Stadium,Abu Dhabi,2020-09-29,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2020-10-19,Chennai Super Kings
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,2020-09-21,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Mumbai Indians,Dubai International Cricket Stadium,,2020-10-31,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,,2020-10-29,Chennai Super Kings
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2020-10-30,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sharjah Cricket Stadium,,2020-10-04,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Dubai International Cricket Stadium,,2020-09-25,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,2020-10-12,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2020-10-25,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2020-10-08,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Delhi Capitals,Dubai International Cricket Stadium,,2020-10-14,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,,2020-10-25,Royal Challengers Bengaluru
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2020-09-26,Sunrisers Hyderabad
Delhi Capitals,Punjab Kings,Punjab Kings,Dubai International Cricket Stadium,,2020-10-20,Delhi Capitals
Royal Challengers Bengaluru,Mumbai Indians,No Result,Dubai International Cricket Stadium,,2020-09-28,Mumbai Indians
Mumbai Indians,Delhi Capitals,Mumbai Indians,Dubai International Cricket Stadium,,2020-11-05,Delhi Capitals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Sheikh Zayed Stadium,Abu Dhabi,2020-11-06,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sheikh Zayed Stadium,Abu Dhabi,2020-11-08,Delhi Capitals
Delhi Capitals,Mumbai Indians,Mumbai Indians,Dubai International Cricket Stadium,,2020-11-10,Delhi Capitals
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-09,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,2021-04-10,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-11,Sunrisers Hyderabad
Punjab Kings,Rajasthan Royals,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,2021-04-12,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-13,Kolkata Knight Riders
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-14,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2021-04-15,Rajasthan Royals
Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2021-04-16,Chennai Super Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-17,Mumbai Indians
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-18,Royal Challengers Bengaluru
Punjab Kings,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,2021-04-18,Delhi Capitals
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2021-04-19,Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-20,Mumbai Indians
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-21,Punjab Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2021-04-21,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2021-04-22,Royal Challengers Bengaluru
Mumbai Indians,Punjab Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-23,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2021-04-24,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2021-04-25,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,No Result,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2021-04-25,Delhi Capitals
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2021-04-26,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2021-04-27,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,2021-04-28,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,2021-04-29,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2021-04-29,Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2021-04-30,Royal Challengers Bengaluru
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,2021-05-01,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi,2021-05-02,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2021-05-02,Delhi Capitals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-09-20,Royal Challengers Bengaluru
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-10-08,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-10-02,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Sharjah Cricket Stadium,Sharjah,2021-10-03,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,2021-09-30,Chennai Super Kings
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-09-28,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Sharjah Cricket Stadium,Sharjah,2021-10-05,Mumbai Indians
Chennai Super Kings,Punjab Kings,Punjab Kings,Dubai International Cricket Stadium,Dubai,2021-10-07,Punjab Kings
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-10-06,Royal Challengers Bengaluru
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-09-23,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Delhi Capitals,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-09-25,Rajasthan Royals
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-09-26,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,2021-09-28,Mumbai Indians
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Dubai International Cricket Stadium,Dubai,2021-09-27,Rajasthan Royals
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Dubai International Cricket Stadium,Dubai,2021-10-08,Royal Challengers Bengaluru
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Dubai International Cricket Stadium,Dubai,2021-10-01,Punjab Kings
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Dubai International Cricket Stadium,Dubai,2021-09-29,Royal Challengers Bengaluru
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,2021-09-19,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Dubai International Cricket Stadium,Dubai,2021-09-22,Sunrisers Hyderabad
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-10-07,Rajasthan Royals
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sharjah Cricket Stadium,Sharjah,2021-09-25,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Dubai International Cricket Stadium,Dubai,2021-09-26,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Dubai International Cricket Stadium,Dubai,2021-10-03,Sunrisers Hyderabad
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Dubai International Cricket Stadium,Dubai,2021-10-04,Delhi Capitals
Rajasthan Royals,Punjab Kings,Rajasthan Royals,Dubai International Cricket Stadium,Dubai,2021-09-21,Punjab Kings
Mumbai Indians,Delhi Capitals,Delhi Capitals,Sharjah Cricket Stadium,Sharjah,2021-10-02,Delhi Capitals
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Sharjah,2021-09-24,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,2021-10-10,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-10-11,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-10-13,Kolkata Knight Riders
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Dubai International Cricket Stadium,Dubai,2021-10-15,Kolkata Knight Riders
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2022-03-26,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-03-27,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-03-27,Punjab Kings
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022-03-28,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-03-29,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-03-30,Royal Challengers Bengaluru
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,2022-03-31,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2022-04-01,Kolkata Knight Riders
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-02,Mumbai Indians
Gujarat Titans,Delhi Capitals,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-02,Delhi Capitals
Punjab Kings,Chennai Super Kings,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,2022-04-03,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-04,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-04-05,Royal Challengers Bengaluru
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-06,Kolkata Knight Riders
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-07,Lucknow Super Giants
Punjab Kings,Gujarat Titans,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,2022-04-08,Gujarat Titans
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-09,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-09,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-10,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-10,Lucknow Super Giants
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-11,Sunrisers Hyderabad
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-12,Royal Challengers Bengaluru
Punjab Kings,Mumbai Indians,Punjab Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-13,Mumbai Indians
Gujarat Titans,Rajasthan Royals,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-14,Rajasthan Royals
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,2022-04-15,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Mumbai,2022-04-16,Mumbai Indians
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-04-16,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-17,Sunrisers Hyderabad
Chennai Super Kings,Gujarat Titans,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-17,Gujarat Titans
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-18,Kolkata Knight Riders
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,"Dr DY Patil Sports Academy, Mumbai",Mumbai,2022-04-19,Lucknow Super Giants
Punjab Kings,Delhi Capitals,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-04-20,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-04-21,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-22,Delhi Capitals
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-04-23,Gujarat Titans
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Mumbai,2022-04-23,Sunrisers Hyderabad
Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,2022-04-24,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,2022-04-25,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-26,Royal Challengers Bengaluru
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022-04-27,Gujarat Titans
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,2022-04-28,Delhi Capitals
Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-04-29,Punjab Kings
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,"Brabourne Stadium, Mumbai",Mumbai,2022-04-30,Royal Challengers Bengaluru
Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-04-30,Mumbai Indians
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Mumbai,2022-05-01,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-05-01,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,2022-05-02,Kolkata Knight Riders
Gujarat Titans,Punjab Kings,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-03,Gujarat Titans
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-05-04,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,"Brabourne Stadium, Mumbai",Mumbai,2022-05-05,Sunrisers Hyderabad
Mumbai Indians,Gujarat Titans,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,2022-05-06,Gujarat Titans
Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2022-05-07,Punjab Kings
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-05-07,Kolkata Knight Riders
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-05-08,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-08,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-09,Mumbai Indians
Gujarat Titans,Lucknow Super Giants,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-05-10,Gujarat Titans
Rajasthan Royals,Delhi Capitals,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-11,Delhi Capitals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2022-05-12,Mumbai Indians
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,"Brabourne Stadium, Mumbai",Mumbai,2022-05-13,Royal Challengers Bengaluru
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Pune,2022-05-14,Kolkata Knight Riders
Chennai Super Kings,Gujarat Titans,Gujarat Titans,"Wankhede Stadium, Mumbai",Mumbai,2022-05-15,Chennai Super Kings
Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,2022-05-15,Rajasthan Royals
Delhi Capitals,Punjab Kings,Delhi Capitals,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-16,Punjab Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,2022-05-17,Mumbai Indians
Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai,2022-05-18,Lucknow Super Giants
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",Mumbai,2022-05-19,Gujarat Titans
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai,2022-05-20,Chennai Super Kings
Delhi Capitals,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai,2022-05-21,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,2022-05-22,Sunrisers Hyderabad
Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Eden Gardens, Kolkata",Kolkata,2022-05-24,Gujarat Titans
Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,2022-05-25,Lucknow Super Giants
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2022-05-27,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2022-05-29,Rajasthan Royals
Chennai Super Kings,Gujarat Titans,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-03-31,Gujarat Titans
Punjab Kings,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-04-01,Kolkata Knight Riders
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-04-01,Delhi Capitals
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-04-02,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-02,Royal Challengers Bengaluru
Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-04-03,Lucknow Super Giants
Delhi Capitals,Gujarat Titans,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Delhi,2023-04-04,Gujarat Titans
Punjab Kings,Rajasthan Royals,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",Guwahati,2023-04-05,Rajasthan Royals
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2023-04-06,Royal Challengers Bengaluru
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2023-04-07,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"Barsapara Cricket Stadium, Guwahati",Guwahati,2023-04-08,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai,2023-04-08,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2023-04-09,Gujarat Titans
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2023-04-09,Sunrisers Hyderabad
Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,2023-04-10,Lucknow Super Giants
Delhi Capitals,Mumbai Indians,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,2023-04-11,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2023-04-12,Chennai Super Kings
Punjab Kings,Gujarat Titans,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,2023-04-13,Gujarat Titans
